number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_lr,params_nhead,params_num_layers,state
0,0.8549333333333333,2025-12-19 22:04:52.391669,2025-12-19 22:23:52.533700,0 days 00:19:00.142031,256,0.3,0.00011110880228103713,8,3,COMPLETE
1,0.8465333333333334,2025-12-19 22:23:52.534198,2025-12-19 22:39:44.215471,0 days 00:15:51.681273,128,0.3,4.964882078600669e-05,4,4,COMPLETE
2,0.5057333333333334,2025-12-19 22:39:44.215911,2025-12-19 22:55:34.281226,0 days 00:15:50.065315,128,0.3,0.00048758187571153227,4,4,COMPLETE
3,0.6326666666666667,2025-12-19 22:55:34.281697,2025-12-19 23:00:23.844765,0 days 00:04:49.563068,128,0.3,2.11252940924272e-05,4,1,COMPLETE
4,0.8312,2025-12-19 23:00:23.845200,2025-12-19 23:10:41.659542,0 days 00:10:17.814342,128,0.1,3.691883314043369e-05,2,3,COMPLETE
5,0.6804,2025-12-19 23:10:41.659987,2025-12-19 23:12:49.516147,0 days 00:02:07.856160,256,0.3,1.2921567768087964e-05,2,2,PRUNED
6,0.8549333333333333,2025-12-19 23:12:49.516466,2025-12-19 23:30:48.680662,0 days 00:17:59.164196,128,0.3,0.00011469394014982634,8,4,COMPLETE
7,0.5489333333333334,2025-12-19 23:30:48.681072,2025-12-19 23:31:59.495993,0 days 00:01:10.814921,256,0.3,5.151273368464839e-05,2,1,PRUNED
8,0.6138666666666667,2025-12-19 23:31:59.496283,2025-12-19 23:32:57.818191,0 days 00:00:58.321908,128,0.1,4.863278211870828e-05,4,1,PRUNED
9,0.6186666666666667,2025-12-19 23:32:57.818472,2025-12-19 23:34:00.483992,0 days 00:01:02.665520,128,0.3,1.7476288352464556e-05,8,1,PRUNED
