number,value,datetime_start,datetime_complete,duration,params_channel1,params_channel2,params_dropout,params_kernel_size,state
0,0.8804444444444445,2025-11-22 09:14:49.327105,2025-11-22 09:15:29.127186,0 days 00:00:39.800081,32,32,0.2,5,COMPLETE
1,0.06666666666666667,2025-11-22 09:15:29.127442,2025-11-22 09:16:00.113973,0 days 00:00:30.986531,16,16,0.2,5,COMPLETE
2,0.06666666666666667,2025-11-22 09:16:00.114097,2025-11-22 09:16:33.282045,0 days 00:00:33.167948,16,16,0.2,7,COMPLETE
3,0.06666666666666667,2025-11-22 09:16:33.282161,2025-11-22 09:17:06.562647,0 days 00:00:33.280486,16,32,0.2,7,COMPLETE
4,0.06666666666666667,2025-11-22 09:17:06.562761,2025-11-22 09:17:39.421316,0 days 00:00:32.858555,32,16,0.2,5,COMPLETE
5,0.06666666666666667,2025-11-22 09:17:39.421430,2025-11-22 09:18:11.416202,0 days 00:00:31.994772,32,16,0.2,5,COMPLETE
6,0.9462222222222222,2025-11-22 09:18:11.416313,2025-11-22 09:18:43.102445,0 days 00:00:31.686132,16,32,0.2,5,COMPLETE
7,0.9026666666666666,2025-11-22 09:18:43.102561,2025-11-22 09:19:13.892675,0 days 00:00:30.790114,16,16,0.2,5,COMPLETE
8,0.7822222222222223,2025-11-22 09:19:13.892785,2025-11-22 09:19:49.270712,0 days 00:00:35.377927,32,32,0.2,5,COMPLETE
9,0.06666666666666667,2025-11-22 09:19:49.270826,2025-11-22 09:20:32.069057,0 days 00:00:42.798231,32,32,0.2,7,COMPLETE
10,0.9373333333333334,2025-11-22 09:20:32.069177,2025-11-22 09:21:01.412307,0 days 00:00:29.343130,16,32,0.2,3,COMPLETE
11,0.9431111111111111,2025-11-22 09:21:01.412419,2025-11-22 09:21:30.644036,0 days 00:00:29.231617,16,32,0.2,3,COMPLETE
12,0.948,2025-11-22 09:21:30.644144,2025-11-22 09:21:59.796340,0 days 00:00:29.152196,16,32,0.2,3,COMPLETE
13,0.9355555555555556,2025-11-22 09:21:59.796447,2025-11-22 09:22:29.956824,0 days 00:00:30.160377,16,32,0.2,3,COMPLETE
14,0.9226666666666666,2025-11-22 09:22:29.956932,2025-11-22 09:22:59.478878,0 days 00:00:29.521946,16,32,0.2,3,COMPLETE
15,0.9106666666666666,2025-11-22 09:22:59.478995,2025-11-22 09:23:29.104180,0 days 00:00:29.625185,16,32,0.2,3,COMPLETE
