conv_channels,kernel_sizes,activation,fc_layer_sizes,dropout,train_loss_history,train_acc_history,val_loss_history,val_acc_history,best_val_acc,best_epoch,final_train_acc,final_val_acc,training_config,success
"[16, 32]",5,relu,"[64, 15]",0.4,"[2.124961985179356, 1.0660606152216594, 0.6631039884885153, 0.4916920539523874, 0.39371824393385935, 0.34359942967551094, 0.30115743274064294, 0.264605462336824, 0.2531893569585823, 0.2340144550033978, 0.17979326863515946, 0.16592691214879354, 0.16313411650132564, 0.15776373495551801, 0.15428341472148896, 0.13959987912566535, 0.13396574845910073, 0.12980383956893568, 0.12484916819844927, 0.12352578961281549, 0.10400508892465206, 0.1035447010161976, 0.09670786167447278, 0.09431174584229787, 0.0925130860449835, 0.09092269941907198, 0.08794886884235201, 0.08728801785906155, 0.08080129937614713, 0.08472251479185763]","[0.30333333333333334, 0.6381904761904762, 0.774, 0.8308571428571428, 0.8671428571428571, 0.8825714285714286, 0.8961904761904762, 0.9093333333333333, 0.9135238095238095, 0.9196190476190477, 0.9374285714285714, 0.944, 0.9441904761904761, 0.9447619047619048, 0.9465714285714286, 0.9528571428571428, 0.9551428571428572, 0.9554285714285714, 0.9581904761904761, 0.9578095238095238, 0.9656190476190476, 0.9660952380952381, 0.9684761904761905, 0.9709523809523809, 0.97, 0.9679047619047619, 0.9693333333333334, 0.9698095238095238, 0.9725714285714285, 0.971047619047619]","[1.2626976863013373, 0.5716620660887825, 0.40538458307584124, 0.27571043681436114, 0.2761521395974689, 0.21698632308509616, 0.17906880416141616, 0.18925173203481568, 0.1561662677725156, 0.13535844885971812, 0.12754598385261165, 0.11634549121393098, 0.11575746274987857, 0.1183309023214711, 0.11933285706573063, 0.11707002525528272, 0.12377586396866375, 0.11889897815055317, 0.1138582503663169, 0.12274218977159924, 0.1109846540076865, 0.11474554456604852, 0.10732366469833586, 0.1112643190274636, 0.11312854876534806, 0.11099528182877434, 0.10588292546239164, 0.10617661890387535, 0.11598670014076763, 0.11001733566323917]","[0.6275555555555555, 0.8271111111111111, 0.8791111111111111, 0.9106666666666666, 0.9124444444444444, 0.9346666666666666, 0.9448888888888889, 0.9426666666666667, 0.9564444444444444, 0.9617777777777777, 0.9635555555555556, 0.9644444444444444, 0.9662222222222222, 0.9657777777777777, 0.9653333333333334, 0.9671111111111111, 0.9657777777777777, 0.964, 0.9711111111111111, 0.968, 0.9728888888888889, 0.9711111111111111, 0.9733333333333334, 0.9728888888888889, 0.9711111111111111, 0.972, 0.9742222222222222, 0.9742222222222222, 0.9715555555555555, 0.9737777777777777]",0.9742222222222222,27,0.971047619047619,0.9737777777777777,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[8, 16, 32]",3,relu,"[64, 15]",0.4,"[2.32820231346857, 1.5360039443969726, 1.1693763216790698, 0.917747388340178, 0.7550339891683487, 0.6748343331728662, 0.5928464920180184, 0.5528494312649681, 0.5001386293002538, 0.4664857157184964, 0.40978176189036597, 0.38615271532535556, 0.3786315284570058, 0.370169709398633, 0.34617959574290685, 0.33658259857268563, 0.32211869840252966, 0.3167529887528647, 0.31290679620561146, 0.3032311159315563, 0.2786641869828815, 0.2755343449967248, 0.2666187951627764, 0.2687624200355439, 0.26533342621581896, 0.25983004036120005, 0.2610901521728152, 0.2522803962911878, 0.24456033380258652, 0.24964003218391112]","[0.21485714285714286, 0.4574285714285714, 0.5853333333333334, 0.6719047619047619, 0.7279047619047619, 0.7597142857142857, 0.7877142857142857, 0.8005714285714286, 0.8251428571428572, 0.836, 0.8503809523809523, 0.8589523809523809, 0.8630476190476191, 0.8676190476190476, 0.8770476190476191, 0.880095238095238, 0.8868571428571429, 0.8841904761904762, 0.8876190476190476, 0.8902857142857142, 0.8973333333333333, 0.9028571428571428, 0.9062857142857143, 0.9080952380952381, 0.9044761904761904, 0.9099047619047619, 0.906952380952381, 0.9133333333333333, 0.9119047619047619, 0.9135238095238095]","[1.5319770454830595, 1.0561362246407402, 0.7215404123730129, 0.5110638596746656, 0.41627554784880744, 0.3748407162560357, 0.2957551901870304, 0.24933944906128777, 0.26949409743812347, 0.21123456818527644, 0.18080076921979588, 0.18490267944667074, 0.16749406412243842, 0.1549825112223625, 0.1868089980267816, 0.17233368037806618, 0.15063169142272737, 0.19190880097614393, 0.15165897357463837, 0.13601887930764092, 0.12256706153684192, 0.12583894762727948, 0.12021055272552703, 0.12740388816595077, 0.12177041384908888, 0.11960530930757522, 0.11610897393359078, 0.11742190644476148, 0.11105479853683048, 0.12406680230961906]","[0.5097777777777778, 0.6706666666666666, 0.7933333333333333, 0.8342222222222222, 0.8684444444444445, 0.8817777777777778, 0.9151111111111111, 0.9244444444444444, 0.9151111111111111, 0.9395555555555556, 0.9471111111111111, 0.9422222222222222, 0.9511111111111111, 0.9595555555555556, 0.94, 0.9408888888888889, 0.9488888888888889, 0.9315555555555556, 0.9506666666666667, 0.9555555555555556, 0.9613333333333334, 0.96, 0.9613333333333334, 0.9568888888888889, 0.96, 0.9617777777777777, 0.9631111111111111, 0.964, 0.9693333333333334, 0.9617777777777777]",0.9693333333333334,29,0.9135238095238095,0.9617777777777777,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[8, 16, 32]",3,relu,"[64, 15]",0.2,"[2.228704243796212, 1.328141031537737, 0.9109476807685125, 0.6310304764424052, 0.5029219355526424, 0.43121833288669587, 0.38050569135660217, 0.33608872158186776, 0.3073213807060605, 0.279418115008445, 0.22512527294386, 0.22053782679921105, 0.2147269964714845, 0.19584275697526476, 0.18687872515405926, 0.18179512177265825, 0.16811930462859925, 0.16707770558553084, 0.15826997871058326, 0.15652540097350165, 0.1363212130530959, 0.1280020023513408, 0.12502897951414899, 0.12470483333723886, 0.11248277411787283, 0.11333548221134004, 0.10967589121347382, 0.10791674200268019, 0.10646737970482735, 0.10667652275448754]","[0.24885714285714286, 0.5418095238095239, 0.6858095238095238, 0.7756190476190477, 0.8232380952380952, 0.8501904761904762, 0.8696190476190476, 0.8833333333333333, 0.8916190476190476, 0.9033333333333333, 0.9222857142857143, 0.9271428571428572, 0.9245714285714286, 0.9344761904761905, 0.9382857142857143, 0.9375238095238095, 0.9442857142857143, 0.9423809523809524, 0.9464761904761905, 0.9492380952380952, 0.9552380952380952, 0.9573333333333334, 0.9561904761904761, 0.9595238095238096, 0.9634285714285714, 0.9628571428571429, 0.9642857142857143, 0.9631428571428572, 0.9638095238095238, 0.9645714285714285]","[1.422118149969313, 0.9715547518200345, 0.5761536004808214, 0.3914486418300205, 0.39894717024432286, 0.2782155733240975, 0.2459037313196394, 0.25827947824531133, 0.24981562839614022, 0.17652115558253395, 0.17385302742322287, 0.15476856177383, 0.14723912595378028, 0.14806416274441614, 0.17427747366163465, 0.1401522379451328, 0.13732605830828348, 0.16164901648627386, 0.13239726646741232, 0.12809206124809053, 0.12230218586656783, 0.11454995097054375, 0.11374757747517691, 0.11039546615547605, 0.11499405006567637, 0.11660743888219198, 0.11197579491138458, 0.12224313598208958, 0.11632827736271752, 0.11775177371501923]","[0.5302222222222223, 0.6822222222222222, 0.8173333333333334, 0.8795555555555555, 0.8666666666666667, 0.9066666666666666, 0.9248888888888889, 0.9106666666666666, 0.9191111111111111, 0.9431111111111111, 0.944, 0.9453333333333334, 0.952, 0.9493333333333334, 0.9417777777777778, 0.9546666666666667, 0.9542222222222222, 0.9453333333333334, 0.9564444444444444, 0.9582222222222222, 0.9604444444444444, 0.9626666666666667, 0.964, 0.9653333333333334, 0.9635555555555556, 0.9653333333333334, 0.9675555555555555, 0.9617777777777777, 0.9631111111111111, 0.9613333333333334]",0.9675555555555555,27,0.9645714285714285,0.9613333333333334,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[16, 32]",5,relu,"[64, 15]",0.2,"[2.214061743690854, 1.6176491543451945, 1.2559212907609485, 0.999095426423209, 0.7705080323446365, 0.6211792091074444, 0.5297471510484105, 0.4528393299011957, 0.4190393985924976, 0.37648533922150024, 0.32343457203251974, 0.30104278505416143, 0.2942893316589651, 0.27513460734912326, 0.27079942559060594, 0.25461778369262106, 0.24752882807453475, 0.2389067103976295, 0.22677109591166178, 0.2277614098844074, 0.2038314259449641, 0.20277717694782074, 0.18370158500330788, 0.19689688628911972, 0.18152401186969308, 0.1906276714234125, 0.18138885193779355, 0.1801997416587103, 0.17934081782382869, 0.1732671586260909]","[0.2700952380952381, 0.4686666666666667, 0.5795238095238096, 0.6598095238095238, 0.7334285714285714, 0.7883809523809524, 0.816, 0.8401904761904762, 0.8563809523809524, 0.8718095238095238, 0.8884761904761905, 0.8966666666666666, 0.9, 0.9011428571428571, 0.9054285714285715, 0.9140952380952381, 0.9167619047619048, 0.915047619047619, 0.920952380952381, 0.9263809523809524, 0.9287619047619048, 0.9315238095238095, 0.938952380952381, 0.9321904761904762, 0.9364761904761905, 0.936, 0.9381904761904762, 0.9362857142857143, 0.9391428571428572, 0.9392380952380952]","[1.7188993730545044, 1.231593780623542, 0.9302616579797532, 0.6499822599358028, 0.4676422037548489, 0.3920843202273051, 0.35370483530892266, 0.3784598424964481, 0.2655863031281365, 0.25204142390357126, 0.21694699161582523, 0.20638125456704035, 0.18674482038285997, 0.18102026461230383, 0.17493518122037252, 0.19015376427438524, 0.1755266502963172, 0.16860970120959812, 0.17539527679814232, 0.16650542194313472, 0.15699891543388367, 0.14908303949568008, 0.14898815874258678, 0.1593309936258528, 0.15299898958206176, 0.14523812005254957, 0.1560710490544637, 0.13713955903053285, 0.1364238362179862, 0.1532378328508801]","[0.4915555555555556, 0.6248888888888889, 0.7217777777777777, 0.7968888888888889, 0.8653333333333333, 0.8688888888888889, 0.8893333333333333, 0.8671111111111112, 0.9235555555555556, 0.928, 0.9382222222222222, 0.9413333333333334, 0.9462222222222222, 0.9475555555555556, 0.9551111111111111, 0.9422222222222222, 0.9502222222222222, 0.9497777777777778, 0.9524444444444444, 0.9528888888888889, 0.9568888888888889, 0.9595555555555556, 0.956, 0.956, 0.9595555555555556, 0.9608888888888889, 0.9515555555555556, 0.96, 0.9626666666666667, 0.956]",0.9626666666666667,29,0.9392380952380952,0.956,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[16, 32]",3,relu,"[64, 15]",0.4,"[2.1875629441397533, 1.4399892523175195, 1.0473958730243502, 0.8614791684377762, 0.7449167210033961, 0.6690600772585188, 0.60983412642706, 0.564235266049703, 0.5301660395349775, 0.4985993751571292, 0.4460710376103719, 0.4313154189700172, 0.4183473857357388, 0.4135595282713572, 0.38836829740660533, 0.38445196182954877, 0.36926286200185615, 0.36644766968772524, 0.3492385572195053, 0.34905598588216874, 0.3213250520785472, 0.3155925678298587, 0.31068464480127606, 0.3127064585515431, 0.3021156509646348, 0.3051567820310593, 0.28800661647887454, 0.28989359336807613, 0.28348763139333044, 0.28718560685075467]","[0.27714285714285714, 0.5165714285714286, 0.634, 0.6927619047619048, 0.728, 0.7646666666666667, 0.780952380952381, 0.7978095238095239, 0.8097142857142857, 0.8199047619047619, 0.8388571428571429, 0.8457142857142858, 0.8529523809523809, 0.8517142857142858, 0.8609523809523809, 0.8627619047619047, 0.8681904761904762, 0.8685714285714285, 0.8727619047619047, 0.8741904761904762, 0.8794285714285714, 0.8821904761904762, 0.8864761904761905, 0.8868571428571429, 0.8883809523809524, 0.8881904761904762, 0.8994285714285715, 0.8929523809523809, 0.8964761904761904, 0.8937142857142857]","[1.524900740729438, 0.8756892575158013, 0.6481478274663289, 0.491420028951433, 0.43202134288681876, 0.3674512048562368, 0.35400522269143, 0.2929899554848671, 0.27333926856517793, 0.24945357894235187, 0.24172069199879964, 0.22109884948862923, 0.23068805091910893, 0.2218023733364211, 0.20697142683797412, 0.22429707805315655, 0.20198330019579994, 0.20721873346964517, 0.19394923326704236, 0.19137945761945513, 0.18780050187971856, 0.1805539612836308, 0.17957118954923418, 0.18126838214198748, 0.18179707525836097, 0.1803539794617229, 0.18376628774735662, 0.17618575253420407, 0.18697490983870294, 0.17893618892298804]","[0.5648888888888889, 0.7484444444444445, 0.8217777777777778, 0.8608888888888889, 0.876, 0.8924444444444445, 0.9004444444444445, 0.9182222222222223, 0.9182222222222223, 0.928, 0.9297777777777778, 0.9373333333333334, 0.9355555555555556, 0.9351111111111111, 0.9386666666666666, 0.9342222222222222, 0.9404444444444444, 0.9417777777777778, 0.9457777777777778, 0.9444444444444444, 0.9435555555555556, 0.948, 0.9493333333333334, 0.9502222222222222, 0.9506666666666667, 0.9488888888888889, 0.948, 0.9524444444444444, 0.948, 0.9497777777777778]",0.9524444444444444,28,0.8937142857142857,0.9497777777777778,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[16, 32]",3,relu,"[64, 15]",0.2,"[2.050557275317964, 1.0418694467998686, 0.7162665611789341, 0.5717507072630382, 0.4707075265135084, 0.4223397891407921, 0.3786164126509712, 0.33956924571877434, 0.31381458642369225, 0.2930739555429845, 0.2554962868378276, 0.2322149922535533, 0.22684626362459467, 0.21522936227208092, 0.20945854277270182, 0.20244536209106445, 0.18751186549663543, 0.18546668820721762, 0.1805364814031692, 0.17617898300432022, 0.15760570503933177, 0.15458307695388793, 0.14764293523345676, 0.14215892878032865, 0.14165170891547488, 0.1410401756536393, 0.13139394665048235, 0.13572054841404868, 0.1313293370093618, 0.1333733257757766]","[0.3398095238095238, 0.6507619047619048, 0.7543809523809524, 0.8008571428571428, 0.8352380952380952, 0.8508571428571429, 0.8660952380952381, 0.8822857142857143, 0.8926666666666667, 0.8934285714285715, 0.9094285714285715, 0.9186666666666666, 0.9226666666666666, 0.9265714285714286, 0.9248571428571428, 0.9257142857142857, 0.937047619047619, 0.9361904761904762, 0.9360952380952381, 0.9362857142857143, 0.9462857142857143, 0.9488571428571428, 0.9496190476190476, 0.9512380952380952, 0.9511428571428572, 0.95, 0.9540952380952381, 0.9534285714285714, 0.9534285714285714, 0.9538095238095238]","[1.2115020213656955, 0.6581369019084506, 0.48412148484918804, 0.40205355938275655, 0.34698101119200386, 0.3029384682310952, 0.2744195563726955, 0.28652372150288685, 0.24507188751300177, 0.24163537745674452, 0.21234045277701483, 0.20975486209657457, 0.21083763405018383, 0.21715360297428238, 0.20749522359834777, 0.2142759648743603, 0.21600162169006135, 0.20449513430231148, 0.21621339104738502, 0.20717091819147268, 0.19640997404356797, 0.20392188249693977, 0.19958393729892043, 0.2074985527313418, 0.1965767082605097, 0.19953647437443336, 0.19644099336365858, 0.20556221407569117, 0.20701374593459898, 0.19806498397141695]","[0.6493333333333333, 0.804, 0.848, 0.8786666666666667, 0.8831111111111111, 0.9031111111111111, 0.912, 0.9048888888888889, 0.92, 0.9235555555555556, 0.9351111111111111, 0.9342222222222222, 0.9386666666666666, 0.9324444444444444, 0.9395555555555556, 0.9315555555555556, 0.9386666666666666, 0.9395555555555556, 0.94, 0.9431111111111111, 0.9462222222222222, 0.9408888888888889, 0.9426666666666667, 0.9408888888888889, 0.9417777777777778, 0.9462222222222222, 0.9431111111111111, 0.9422222222222222, 0.9391111111111111, 0.9431111111111111]",0.9462222222222222,21,0.9538095238095238,0.9431111111111111,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[32, 64]",5,relu,"[64, 15]",0.4,"[2.259966633842105, 1.6934198304130919, 1.3775676321302142, 1.072816832951137, 0.9356496691817329, 0.8557606497265043, 0.7990826835859389, 0.7634440632320586, 0.7216141861506871, 0.70012832959493, 0.6265863976932707, 0.6037958467347281, 0.5970829034192221, 0.5853336367834182, 0.5783519615899949, 0.5596516626335326, 0.5733343367349534, 0.5507063989596708, 0.5308301833470662, 0.5210397655169169, 0.4925004561288016, 0.46148442942755563, 0.45644619547185444, 0.45304028967448645, 0.43529805496193114, 0.4266019293807802, 0.4207407108488537, 0.406586998076666, 0.410097325361999, 0.3872745672407604]","[0.258, 0.44342857142857145, 0.5446666666666666, 0.632095238095238, 0.6740952380952381, 0.7015238095238095, 0.7174285714285714, 0.7335238095238096, 0.7446666666666667, 0.7490476190476191, 0.7785714285714286, 0.7877142857142857, 0.7859047619047619, 0.7916190476190477, 0.7940952380952381, 0.8039047619047619, 0.7999047619047619, 0.8067619047619048, 0.8136190476190476, 0.8152380952380952, 0.8262857142857143, 0.8403809523809523, 0.837047619047619, 0.8379047619047619, 0.8522857142857143, 0.8507619047619047, 0.8536190476190476, 0.8570476190476191, 0.8547619047619047, 0.8655238095238095]","[1.657745446311103, 1.3877510709762573, 0.9228035859002007, 0.6925191366142697, 0.6169617540041605, 0.5277408432165782, 0.5066583570374383, 0.47799113081561195, 0.4760255207750532, 0.47336982700559826, 0.3814465207788679, 0.3810327852567037, 0.375440708955129, 0.36207912964291045, 0.37015009775426655, 0.3451429614888297, 0.34691445452637143, 0.33701420637634066, 0.3459731693400277, 0.32413485535648134, 0.29360307274924385, 0.2938051518532965, 0.272457980480459, 0.2657030966215663, 0.2594478129347165, 0.2498713347117106, 0.2515598780678378, 0.23775371633635628, 0.22584528431627485, 0.22724222573306826]","[0.496, 0.5728888888888889, 0.7275555555555555, 0.7955555555555556, 0.8017777777777778, 0.8382222222222222, 0.8355555555555556, 0.8422222222222222, 0.8426666666666667, 0.8502222222222222, 0.8817777777777778, 0.8831111111111111, 0.8884444444444445, 0.8888888888888888, 0.8844444444444445, 0.8915555555555555, 0.8973333333333333, 0.8968888888888888, 0.892, 0.9048888888888889, 0.9115555555555556, 0.9053333333333333, 0.9155555555555556, 0.9195555555555556, 0.9177777777777778, 0.9244444444444444, 0.9226666666666666, 0.9284444444444444, 0.9315555555555556, 0.9297777777777778]",0.9315555555555556,29,0.8655238095238095,0.9297777777777778,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[32, 64]",3,relu,"[64, 15]",0.4,"[2.4736908887227376, 1.910360084261213, 1.7494405217397782, 1.639983588309515, 1.400061952023279, 1.268755048797244, 1.166750309989566, 1.118307325908116, 1.0643551638694038, 1.0344902964546567, 0.9731254366011847, 0.9826079792068119, 0.9422310806456067, 0.94234790291105, 0.9231973993437631, 0.8939700650033496, 0.9019973288263593, 0.8977679121153695, 0.8948110172180902, 0.8753163158780053, 0.8607965945516314, 0.8573697243645078, 0.8465058180604662, 0.8389626111359824, 0.8330743875787372, 0.8310405632200695, 0.8268353335062663, 0.8232510790143694, 0.8295000797453381, 0.8298415941965013]","[0.174, 0.3739047619047619, 0.4238095238095238, 0.45580952380952383, 0.5246666666666666, 0.5682857142857143, 0.6057142857142858, 0.6164761904761905, 0.6344761904761905, 0.6398095238095238, 0.6578095238095238, 0.6582857142857143, 0.6691428571428572, 0.6698095238095239, 0.6679047619047619, 0.6799047619047619, 0.6762857142857143, 0.678, 0.68, 0.686, 0.6905714285714286, 0.6916190476190476, 0.6935238095238095, 0.7032380952380952, 0.6960952380952381, 0.7001904761904761, 0.7032380952380952, 0.706952380952381, 0.7017142857142857, 0.7040952380952381]","[1.9066008349524604, 1.605496264245775, 1.4593414724138047, 1.2158265052371555, 1.0044590374628704, 0.8701840264002482, 0.8186041593021817, 0.7293993193838332, 0.7312717028194003, 0.7043307757907443, 0.6513079340722826, 0.6609714253213671, 0.6647306537628174, 0.6347544724146525, 0.6213989000320435, 0.6388199438518948, 0.6100330804189046, 0.6295799484782749, 0.6001652017699347, 0.5878756069077385, 0.5795874441994561, 0.5865590076711443, 0.5798810887071821, 0.5737180635664199, 0.5717230887677934, 0.571063026799096, 0.5845546639230517, 0.5659893139733209, 0.5652584590382046, 0.5647855309115516]","[0.42977777777777776, 0.5155555555555555, 0.588, 0.6533333333333333, 0.7191111111111111, 0.7546666666666667, 0.7582222222222222, 0.7893333333333333, 0.7888888888888889, 0.7826666666666666, 0.8008888888888889, 0.7982222222222223, 0.7928888888888889, 0.8026666666666666, 0.8115555555555556, 0.8004444444444444, 0.8084444444444444, 0.8048888888888889, 0.8164444444444444, 0.8191111111111111, 0.8128888888888889, 0.8182222222222222, 0.824, 0.82, 0.8253333333333334, 0.8208888888888889, 0.8262222222222222, 0.8191111111111111, 0.8195555555555556, 0.824]",0.8262222222222222,27,0.7040952380952381,0.824,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[32, 64]",5,relu,"[64, 15]",0.2,"[2.2053646650768464, 1.685670944123041, 1.5302282250949315, 1.4348050840014503, 1.3554201350893293, 1.2938693386146, 1.2219896180289131, 1.173085286095029, 1.1323109871319361, 1.0998304154418763, 1.0299217371259417, 1.0153122969581967, 1.0024422283626737, 0.9817194665727161, 0.974688119434175, 0.9511649074554444, 0.9677251855759393, 0.9260348407200405, 0.9320247205325536, 0.9174489867800758, 0.882976026506651, 0.8717873807634626, 0.868279729343596, 0.8716638085955665, 0.8682699753187951, 0.8538749424162365, 0.858076571055821, 0.8541244732311793, 0.8524860418296996, 0.8400611156281971]","[0.27704761904761904, 0.44542857142857145, 0.4937142857142857, 0.5213333333333333, 0.5488571428571428, 0.5658095238095238, 0.588952380952381, 0.6085714285714285, 0.6185714285714285, 0.6296190476190476, 0.6536190476190477, 0.6594285714285715, 0.6567619047619048, 0.6692380952380952, 0.667047619047619, 0.6765714285714286, 0.674, 0.6881904761904762, 0.6840952380952381, 0.686952380952381, 0.7040952380952381, 0.702952380952381, 0.7072380952380952, 0.7079047619047619, 0.7094285714285714, 0.7122857142857143, 0.717047619047619, 0.7128571428571429, 0.7142857142857143, 0.7183809523809523]","[1.7292578707800972, 1.4573884020911323, 1.313727733823988, 1.229401039865282, 1.1611355693605212, 1.0736045434739854, 1.0470651977327134, 1.0008728815714518, 0.9520533159573873, 0.9142948940065172, 0.868657138718499, 0.8212614912456936, 0.8212196950912476, 0.8005595107608371, 0.7890777254104614, 0.8216976374520196, 0.790991536034478, 0.7713817151387533, 0.7433320396211412, 0.7343899876276652, 0.7177152400016784, 0.7140867952240838, 0.6955180657174852, 0.7161433670255873, 0.6920840122964647, 0.6851080984539456, 0.6915719263818529, 0.6848871194521586, 0.6900177663167317, 0.6721192035675049]","[0.48044444444444445, 0.5337777777777778, 0.5897777777777777, 0.6164444444444445, 0.6297777777777778, 0.6648888888888889, 0.6622222222222223, 0.6915555555555556, 0.7017777777777777, 0.7168888888888889, 0.7293333333333333, 0.7577777777777778, 0.7484444444444445, 0.7657777777777778, 0.756, 0.7408888888888889, 0.7564444444444445, 0.7586666666666667, 0.7777777777777778, 0.7742222222222223, 0.7782222222222223, 0.7848888888888889, 0.7924444444444444, 0.7835555555555556, 0.788, 0.7933333333333333, 0.7955555555555556, 0.7875555555555556, 0.7866666666666666, 0.7871111111111111]",0.7955555555555556,27,0.7183809523809523,0.7871111111111111,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
"[32, 64]",3,relu,"[64, 15]",0.2,"[2.7130590405237105, 2.708724304199219, 2.708557421729678, 2.708454988933745, 2.7084025818961006, 2.708376396724156, 2.7083328786577496, 2.708340090978713, 2.7083368317740306, 2.708350148337228, 2.708214231400263, 2.708210490453811, 2.7082014361790248, 2.7082058265322733, 2.708207747686477, 2.7082137175060454, 2.708191244579497, 2.7081952852521622, 2.708200161343529, 2.7081978695279076, 2.7081320752643405, 2.7081373688834054, 2.7081243550436835, 2.7081391004834856, 2.7081229371570403, 2.7081294790903727, 2.708132863907587, 2.708130237851824, 2.708125854946318, 2.7081239445095973]","[0.06304761904761905, 0.06457142857142857, 0.06390476190476191, 0.06542857142857143, 0.06276190476190477, 0.06152380952380952, 0.06533333333333333, 0.058095238095238096, 0.06457142857142857, 0.06371428571428571, 0.06466666666666666, 0.06361904761904762, 0.06533333333333333, 0.06142857142857143, 0.06133333333333333, 0.06323809523809523, 0.06123809523809524, 0.06390476190476191, 0.061142857142857145, 0.06533333333333333, 0.06523809523809523, 0.06314285714285714, 0.06419047619047619, 0.06666666666666667, 0.06333333333333334, 0.06457142857142857, 0.06209523809523809, 0.06352380952380952, 0.06466666666666666, 0.06533333333333333]","[2.708545380062527, 2.7082159792582194, 2.7082227963341605, 2.7081136044396295, 2.70807647535536, 2.7080624565548366, 2.708057465235392, 2.7080574735005696, 2.7080537257724338, 2.708055815378825, 2.7080539506276446, 2.708053655412462, 2.708051739798652, 2.708052489174737, 2.7080539393954806, 2.7080524402194555, 2.7080523488786485, 2.708054107454088, 2.7080543588002524, 2.708052904340956, 2.708052619298299, 2.7080518548753525, 2.708052369435628, 2.7080523810916475, 2.7080525959862602, 2.708051510281033, 2.7080516556633842, 2.708051359600491, 2.70805243534512, 2.708051600350274]","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]",0.06666666666666667,1,0.06533333333333333,0.06666666666666667,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001, 'step_size': 10, 'gamma': 0.5, 'seed': 42}",True
