number,value,datetime_start,datetime_complete,duration,params_channel1,params_channel2,params_dropout,params_kernel_size,state
0,0.6604444444444444,2025-11-21 22:39:37.000014,2025-11-21 22:42:38.837622,0 days 00:03:01.837608,32,32,0.0,5,COMPLETE
1,0.8968888888888888,2025-11-21 22:42:38.837769,2025-11-21 22:43:41.529320,0 days 00:01:02.691551,16,16,0.0,3,COMPLETE
2,0.8888888888888888,2025-11-21 22:43:41.529455,2025-11-21 22:44:49.862533,0 days 00:01:08.333078,16,32,0.2,3,COMPLETE
3,0.8622222222222222,2025-11-21 22:44:49.862661,2025-11-21 22:46:40.218044,0 days 00:01:50.355383,32,32,0.2,3,COMPLETE
4,0.8444444444444444,2025-11-21 22:46:40.218190,2025-11-21 22:48:52.873809,0 days 00:02:12.655619,16,16,0.0,5,COMPLETE
5,0.8448888888888889,2025-11-21 22:48:52.873958,2025-11-21 22:52:31.551227,0 days 00:03:38.677269,32,32,0.2,5,COMPLETE
6,0.06666666666666667,2025-11-21 22:52:31.551361,2025-11-21 22:55:34.828350,0 days 00:03:03.276989,32,32,0.0,5,COMPLETE
7,0.8595555555555555,2025-11-21 22:55:34.828475,2025-11-21 22:57:19.321697,0 days 00:01:44.493222,16,16,0.0,5,COMPLETE
8,0.8088888888888889,2025-11-21 22:57:19.321826,2025-11-21 22:58:24.091736,0 days 00:01:04.769910,16,16,0.2,3,COMPLETE
9,0.8391111111111111,2025-11-21 22:58:24.091859,2025-11-21 23:01:32.900239,0 days 00:03:08.808380,32,16,0.0,5,COMPLETE
10,0.8688888888888889,2025-11-21 23:01:32.900412,2025-11-21 23:02:57.629970,0 days 00:01:24.729558,16,16,0.0,3,COMPLETE
11,0.8151111111111111,2025-11-21 23:02:57.630112,2025-11-21 23:04:32.888928,0 days 00:01:35.258816,16,32,0.2,3,COMPLETE
12,0.6928888888888889,2025-11-21 23:04:32.889112,2025-11-21 23:05:50.351670,0 days 00:01:17.462558,16,16,0.2,3,COMPLETE
13,0.8635555555555555,2025-11-21 23:05:50.351826,2025-11-21 23:06:59.903221,0 days 00:01:09.551395,16,32,0.2,3,COMPLETE
14,0.9315555555555556,2025-11-21 23:06:59.903346,2025-11-21 23:08:24.997994,0 days 00:01:25.094648,16,32,0.0,3,COMPLETE
15,0.8924444444444445,2025-11-21 23:08:24.998145,2025-11-21 23:09:45.850355,0 days 00:01:20.852210,16,16,0.0,3,COMPLETE
