number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layer1,params_layer2,state
0,0.7844444444444445,2025-11-21 20:24:00.592667,2025-11-21 20:24:11.179023,0 days 00:00:10.586356,relu,0.2,128,256,COMPLETE
1,0.7435555555555555,2025-11-21 20:24:11.179161,2025-11-21 20:24:20.773381,0 days 00:00:09.594220,leakyrelu,0.2,64,128,COMPLETE
2,0.7546666666666667,2025-11-21 20:24:20.773498,2025-11-21 20:24:30.991171,0 days 00:00:10.217673,leakyrelu,0.4,128,64,COMPLETE
3,0.8102222222222222,2025-11-21 20:24:30.991292,2025-11-21 20:24:43.153836,0 days 00:00:12.162544,leakyrelu,0.4,256,256,COMPLETE
4,0.7853333333333333,2025-11-21 20:24:43.153951,2025-11-21 20:24:53.770249,0 days 00:00:10.616298,relu,0.2,128,128,COMPLETE
5,0.7911111111111111,2025-11-21 20:24:53.770365,2025-11-21 20:25:04.520182,0 days 00:00:10.749817,relu,0.2,128,256,COMPLETE
6,0.7933333333333333,2025-11-21 20:25:04.520297,2025-11-21 20:25:16.621846,0 days 00:00:12.101549,relu,0.4,256,64,COMPLETE
7,0.8022222222222222,2025-11-21 20:25:16.621964,2025-11-21 20:25:28.977557,0 days 00:00:12.355593,leakyrelu,0.4,256,256,COMPLETE
8,0.8062222222222222,2025-11-21 20:25:28.977678,2025-11-21 20:25:41.289068,0 days 00:00:12.311390,leakyrelu,0.4,256,128,COMPLETE
9,0.804,2025-11-21 20:25:41.289186,2025-11-21 20:25:53.513483,0 days 00:00:12.224297,relu,0.4,256,128,COMPLETE
10,0.7182222222222222,2025-11-21 20:25:53.513595,2025-11-21 20:26:03.507001,0 days 00:00:09.993406,leakyrelu,0.4,64,256,COMPLETE
11,0.8088888888888889,2025-11-21 20:26:03.507112,2025-11-21 20:26:15.930640,0 days 00:00:12.423528,leakyrelu,0.4,256,128,COMPLETE
12,0.7977777777777778,2025-11-21 20:26:15.930760,2025-11-21 20:26:28.229978,0 days 00:00:12.299218,leakyrelu,0.4,256,128,COMPLETE
13,0.8164444444444444,2025-11-21 20:26:28.230097,2025-11-21 20:26:40.637565,0 days 00:00:12.407468,leakyrelu,0.4,256,256,COMPLETE
14,0.8177777777777778,2025-11-21 20:26:40.637683,2025-11-21 20:26:53.261319,0 days 00:00:12.623636,leakyrelu,0.4,256,256,COMPLETE
15,0.8133333333333334,2025-11-21 20:26:53.261442,2025-11-21 20:27:05.724763,0 days 00:00:12.463321,leakyrelu,0.4,256,256,COMPLETE
16,0.7386666666666667,2025-11-21 20:27:05.724886,2025-11-21 20:27:15.743242,0 days 00:00:10.018356,leakyrelu,0.4,64,256,COMPLETE
17,0.8071111111111111,2025-11-21 20:27:15.743359,2025-11-21 20:27:28.118169,0 days 00:00:12.374810,leakyrelu,0.4,256,256,COMPLETE
18,0.7968888888888889,2025-11-21 20:27:28.118287,2025-11-21 20:27:40.290566,0 days 00:00:12.172279,leakyrelu,0.2,256,64,COMPLETE
19,0.7266666666666667,2025-11-21 20:27:40.290686,2025-11-21 20:27:50.348434,0 days 00:00:10.057748,leakyrelu,0.4,64,256,COMPLETE
20,0.8142222222222222,2025-11-21 20:27:50.348554,2025-11-21 20:28:02.872384,0 days 00:00:12.523830,leakyrelu,0.4,256,256,COMPLETE
21,0.8044444444444444,2025-11-21 20:28:02.872503,2025-11-21 20:28:15.307092,0 days 00:00:12.434589,leakyrelu,0.4,256,256,COMPLETE
22,0.8048888888888889,2025-11-21 20:28:15.307205,2025-11-21 20:28:27.823965,0 days 00:00:12.516760,leakyrelu,0.4,256,256,COMPLETE
23,0.812,2025-11-21 20:28:27.824084,2025-11-21 20:28:40.381398,0 days 00:00:12.557314,leakyrelu,0.4,256,256,COMPLETE
24,0.8071111111111111,2025-11-21 20:28:40.381519,2025-11-21 20:28:52.989459,0 days 00:00:12.607940,leakyrelu,0.4,256,256,COMPLETE
25,0.7928888888888889,2025-11-21 20:28:52.989578,2025-11-21 20:29:05.349374,0 days 00:00:12.359796,leakyrelu,0.4,256,64,COMPLETE
26,0.8315555555555556,2025-11-21 20:29:05.349493,2025-11-21 20:29:17.910739,0 days 00:00:12.561246,relu,0.2,256,256,COMPLETE
27,0.8133333333333334,2025-11-21 20:29:17.910857,2025-11-21 20:29:30.374140,0 days 00:00:12.463283,relu,0.2,256,256,COMPLETE
28,0.7977777777777778,2025-11-21 20:29:30.374259,2025-11-21 20:29:41.457395,0 days 00:00:11.083136,relu,0.2,128,256,COMPLETE
29,0.7466666666666667,2025-11-21 20:29:41.457515,2025-11-21 20:29:51.692047,0 days 00:00:10.234532,relu,0.2,64,256,COMPLETE
30,0.7724444444444445,2025-11-21 20:29:51.692167,2025-11-21 20:30:02.271090,0 days 00:00:10.578923,relu,0.2,128,64,COMPLETE
31,0.8035555555555556,2025-11-21 20:30:02.271211,2025-11-21 20:30:14.955512,0 days 00:00:12.684301,relu,0.2,256,256,COMPLETE
32,0.8275555555555556,2025-11-21 20:30:14.955636,2025-11-21 20:30:27.597623,0 days 00:00:12.641987,relu,0.2,256,256,COMPLETE
33,0.8124444444444444,2025-11-21 20:30:27.597740,2025-11-21 20:30:40.170449,0 days 00:00:12.572709,relu,0.2,256,256,COMPLETE
34,0.8186666666666667,2025-11-21 20:30:40.170572,2025-11-21 20:30:52.840015,0 days 00:00:12.669443,relu,0.2,256,256,COMPLETE
35,0.8288888888888889,2025-11-21 20:30:52.840134,2025-11-21 20:31:05.416172,0 days 00:00:12.576038,relu,0.2,256,256,COMPLETE
